Link iFood,restaurant_name,city,state,id_restaurant
https://www.ifood.com.br/delivery/balneario-camboriu-sc/taj-bar-centro/f4cdb773-f633-47e3-9878-c7a8d355320a,Taj Bar Centro,Balneario Camboriu,SC,f4cdb773-f633-47e3-9878-c7a8d355320a
https://www.ifood.com.br/delivery/itajai-sc/de-luca-sushi-fazenda/a68fec58-eff1-4350-b4f8-6d687475777d,De Luca Sushi Fazenda,Itajai,SC,a68fec58-eff1-4350-b4f8-6d687475777d
https://www.ifood.com.br/delivery/itajai-sc/japa-temakeria-itajai-fazenda/8705a760-8e19-4951-84f2-3eeaf813430d,Japa Temakeria Itajai Fazenda,Itajai,SC,8705a760-8e19-4951-84f2-3eeaf813430d
https://www.ifood.com.br/delivery/itajai-sc/enzo-sushi-box-fazenda/b44c405e-0303-434f-aa43-c87e59112690,Enzo Sushi Box Fazenda,Itajai,SC,b44c405e-0303-434f-aa43-c87e59112690
https://www.ifood.com.br/delivery/itajai-sc/habbitat-brava-praia-brava-de-itajai/bd4acbfa-752d-4c4a-87ea-e45b4bccf010,Habbitat Brava Praia Brava De Itajai,Itajai,SC,bd4acbfa-752d-4c4a-87ea-e45b4bccf010
https://www.ifood.com.br/delivery/itajai-sc/noma-brava-praia-brava-de-itajai/10d812cd-b6b6-4175-a408-196618528e09,Noma Brava Praia Brava De Itajai,Itajai,SC,10d812cd-b6b6-4175-a408-196618528e09
https://www.ifood.com.br/delivery/itajai-sc/galeteria-familia-frassini-fazenda/6a8fb71d-22fe-40c0-989c-8402c2e81ba6,Galeteria Familia Frassini Fazenda,Itajai,SC,6a8fb71d-22fe-40c0-989c-8402c2e81ba6
https://www.ifood.com.br/delivery/itajai-sc/cantina-familia-frassini-centro/52207634-4237-4afa-8e8b-f3ad4045ba0d,Cantina Familia Frassini Centro,Itajai,SC,52207634-4237-4afa-8e8b-f3ad4045ba0d
https://www.ifood.com.br/delivery/itajai-sc/frassini-trattoria-fazenda/b708c0d7-439e-49e7-bdb1-907fc006592a,Frassini Trattoria Fazenda,Itajai,SC,b708c0d7-439e-49e7-bdb1-907fc006592a
https://www.ifood.com.br/delivery/navegantes-sc/nozomu-sushi-delivery-centro/ef26fd8a-b9b7-4b4f-b7df-b7cd2237a65d,Nozomu Sushi Delivery Centro,Navegantes,SC,ef26fd8a-b9b7-4b4f-b7df-b7cd2237a65d
https://www.ifood.com.br/delivery/navegantes-sc/sujiro-sushi-navegantes-centro/1c2311dc-d307-4798-9a60-f6163c00fdfb,Sujiro Sushi Navegantes Centro,Navegantes,SC,1c2311dc-d307-4798-9a60-f6163c00fdfb
https://www.ifood.com.br/delivery/itajai-sc/pizzaria-bodybuilder-delivery-bc-praia-brava-de-itajai/d28c2131-04cb-47cd-bc4e-6e149fd790ba,Pizzaria Bodybuilder Delivery Bc Praia Brava De Itajai,Itajai,SC,d28c2131-04cb-47cd-bc4e-6e149fd790ba
https://www.ifood.com.br/delivery/itajai-sc/churrascaria-arapuca-do-airton-vila-operaria/733f9f9d-85e2-488f-bfc1-a55c4bfc5313,Churrascaria Arapuca Do Airton Vila Operaria,Itajai,SC,733f9f9d-85e2-488f-bfc1-a55c4bfc5313
https://www.ifood.com.br/delivery/bombinhas-sc/pede-dog-bombas/3416f93a-d311-4040-ad74-9f60763c2dfc,Pede Dog Bombas,Bombinhas,SC,3416f93a-d311-4040-ad74-9f60763c2dfc
https://www.ifood.com.br/delivery/itajai-sc/the-dok-burger---hamburgueria-sao-vicente/60c626ee-4432-4ae4-84f6-352f04d00dfe,The Dok Burger   Hamburgueria Sao Vicente,Itajai,SC,60c626ee-4432-4ae4-84f6-352f04d00dfe
